criterion,splitter,max_depth,min_samples_split,max_features,oversampling_method,roc_auc
gini,best,144,0.052719358724585275,sqrt,none,0.902941972662901
gini,best,144,0.05276855414984311,sqrt,none,0.8839450448390447
entropy,best,78,0.06887397825968294,,none,0.9169739165096837
gini,best,73,0.06970175123062311,,none,0.9179076667112884
gini,best,144,0.05264398485896989,sqrt,none,0.8909151867578103
gini,best,144,0.052550539563535295,sqrt,none,0.8955372937234042
gini,best,81,0.06900981468845911,sqrt,none,0.8728459989522044
gini,best,143,0.05235726187788773,sqrt,none,0.8755816670877353
gini,best,144,0.05244743707722155,sqrt,none,0.8953303120890973
entropy,best,78,0.07053933255942894,,none,0.9168593223765008
gini,best,144,0.05234525190401325,sqrt,none,0.9021949113622633
gini,best,144,0.052341027306175736,sqrt,none,0.8988408223085839
gini,best,143,0.05229318281179982,sqrt,none,0.8949437723480265
gini,best,143,0.05221902225638216,sqrt,none,0.886543290529901
gini,best,143,0.05235438620424041,sqrt,none,0.892604509979917
gini,best,143,0.05210643480791852,sqrt,none,0.8966375999677924
gini,best,143,0.05202281429932488,sqrt,none,0.8892593603664333
entropy,best,74,0.06901713907597865,sqrt,none,0.8903599646052839
gini,best,143,0.05191478368321382,sqrt,none,0.8910800271222895
gini,best,142,0.05183802807925437,sqrt,none,0.888036158550929
gini,best,142,0.0517855406161505,sqrt,none,0.8710230465090286
gini,best,143,0.05205871597506959,sqrt,none,0.895652655543152
gini,best,143,0.05200989190679036,sqrt,none,0.8834378250924572
entropy,best,73,0.06976188414744768,sqrt,none,0.8926439636550271
gini,best,143,0.05196548731787678,sqrt,none,0.8876495625883832
gini,best,143,0.051916390128508724,sqrt,none,0.8986843145347939
gini,best,143,0.05183351271909776,sqrt,none,0.9024506132537077
gini,best,142,0.05175446162705227,sqrt,none,0.879711922569415
entropy,best,74,0.06893414241387594,sqrt,none,0.8568773770386603
entropy,best,70,0.0739395211151378,sqrt,none,0.8925439375537197
entropy,best,76,0.06948844699344739,,none,0.9168154561423668
gini,best,143,0.05226782507707338,sqrt,none,0.8910815205263306
gini,best,143,0.05220861527483627,sqrt,none,0.8865995759576121
gini,best,75,0.07159423650898918,,none,0.9177886456155949
gini,best,143,0.052133409199319705,sqrt,none,0.8991564943026145
gini,best,142,0.05207585934286935,sqrt,none,0.8769733931537492
gini,best,143,0.05217129697617902,sqrt,none,0.8882574179363306
gini,best,143,0.0521311274798359,sqrt,none,0.8961237459682208
gini,best,143,0.05206011899076491,sqrt,none,0.8763559365027057
gini,best,143,0.05214983047870865,sqrt,none,0.8856496902157449
gini,best,143,0.052119309887749064,sqrt,none,0.8691078622780622
entropy,best,74,0.06936858161985315,,none,0.9168154561423668
entropy,best,74,0.06637357273079915,,none,0.9169055228253519
entropy,best,74,0.07012270027984252,,none,0.9168593223765008
entropy,best,69,0.07173860967123191,sqrt,none,0.8717278708660027
entropy,best,74,0.07026660983985031,,none,0.9168593223765008
entropy,best,75,0.06848727887714243,,none,0.9169739165096837
gini,best,74,0.06998262753016873,,none,0.9179076667112884
entropy,best,74,0.06942544616120648,,none,0.9168154561423668
entropy,best,73,0.06941208752491132,,none,0.9168154561423668
gini,best,143,0.051991892141777574,sqrt,none,0.8819926235558054
gini,best,143,0.05193590963895882,sqrt,none,0.86494074146347
entropy,best,74,0.06989131355161572,,none,0.9168154561423668
gini,best,144,0.05229107395080451,sqrt,none,0.8759599013091619
gini,best,144,0.05234141889086477,sqrt,none,0.8945337371985717
gini,best,144,0.052305088598119207,sqrt,none,0.899272972137163
gini,best,144,0.05228828284373765,sqrt,none,0.9052405903991544
gini,best,144,0.052327382901898235,sqrt,none,0.8843458753168137
gini,best,144,0.052299395164752675,sqrt,none,0.8782835955571145
gini,best,144,0.05232116520090715,sqrt,none,0.895361425005525
gini,best,144,0.05228542548972362,sqrt,none,0.8843466690012401
gini,best,144,0.052258740874718594,sqrt,none,0.8930284108747834
gini,best,144,0.05221363424455836,sqrt,none,0.9006694985860761
gini,best,144,0.052198997695290045,sqrt,none,0.8854835026780009
gini,best,144,0.05216879554187971,sqrt,none,0.8852951642141603
entropy,best,75,0.0700941154135673,,none,0.9168593223765008
gini,best,144,0.052113382666346526,sqrt,none,0.8880604247532946
gini,best,144,0.05206049927958156,sqrt,none,0.8691930772588252
gini,best,144,0.05224231017955608,sqrt,none,0.906120128534317
gini,best,144,0.052286331031453685,sqrt,none,0.8954004322189837
gini,best,144,0.05225056147191131,sqrt,none,0.8726253998535857
gini,best,144,0.05234686150173971,sqrt,none,0.8902765101817597
gini,best,144,0.05230521318458326,sqrt,none,0.8814081284990832
gini,best,144,0.05229759643618711,sqrt,none,0.8772823221835483
gini,best,144,0.05232640725747717,sqrt,none,0.8829851919316098
gini,best,144,0.05231514974608358,sqrt,none,0.8799257390997323
gini,best,144,0.05230768303120937,sqrt,none,0.8865988936690837
gini,best,144,0.05227229348548105,sqrt,none,0.8730310925511718
gini,best,144,0.05235228932280849,sqrt,none,0.8818000493230791
gini,best,144,0.052303965885691,sqrt,none,0.8842581359212723
gini,best,144,0.05231020186748871,sqrt,none,0.8919915475466196
gini,best,144,0.0522609054651475,sqrt,none,0.887896056638478
gini,best,144,0.052232965754117275,sqrt,none,0.8814981688753578
gini,best,143,0.051686255920515255,,none,0.918607843380971
gini,best,147,0.05588344666306629,sqrt,none,0.8936375782144288
gini,best,145,0.05409371327970213,sqrt,none,0.8967297581851987
gini,best,146,0.05433450317979917,sqrt,none,0.8760684531188163
